DATE,IPG3361T3N
1/1/09,46.6065
2/1/09,58.0692
3/1/09,60.0537
4/1/09,57.2673
5/1/09,51.3129
6/1/09,52.2311
7/1/09,50.6097
8/1/09,70.1322
9/1/09,77.3808
10/1/09,80.6945
11/1/09,76.0444
12/1/09,67.6295
1/1/10,74.7395
2/1/10,79.5792
3/1/10,83.7497
4/1/10,79.0481
5/1/10,85.0256
6/1/10,88.6205
7/1/10,69.6165
8/1/10,89.6761
9/1/10,90.6674
10/1/10,95.9842
11/1/10,82.837
12/1/10,73.1747
1/1/11,83.6421
2/1/11,93.7701
3/1/11,99.4138
4/1/11,86.1732
5/1/11,87.3403
6/1/11,91.0217
7/1/11,71.1635
8/1/11,95.5022
9/1/11,95.0094
10/1/11,104.9964
11/1/11,91.8821
12/1/11,85.2295
1/1/12,96.2455
2/1/12,104.6666
3/1/12,106.9121
4/1/12,102.3784
5/1/12,100.8368
6/1/12,106.7646
7/1/12,81.0813
8/1/12,102.8441
9/1/12,100.6109
10/1/12,107.6743
11/1/12,99.6101
12/1/12,90.3754
1/1/13,97.7175
2/1/13,109.6218
3/1/13,111.584
4/1/13,109.8747
5/1/13,107.2876
6/1/13,114.1055
7/1/13,82.6277
8/1/13,112.7933
9/1/13,114.4194
10/1/13,119.5
11/1/13,111.9372
12/1/13,95.4514
1/1/14,101.9898
2/1/14,120.8058
3/1/14,124.773
4/1/14,117.1871
5/1/14,119.0695
6/1/14,124.295
7/1/14,100.2441
8/1/14,123.9196
9/1/14,120.6854
10/1/14,126.1482
11/1/14,119.7014
12/1/14,105.9185
1/1/15,111.9291
2/1/15,123.2094
3/1/15,131.9471
4/1/15,126.1768
5/1/15,127.9432
6/1/15,127.3194
7/1/15,107.671
8/1/15,129.8884
9/1/15,128.0283
10/1/15,135.5014
11/1/15,122.4709
12/1/15,106.5013
1/1/16,118.8097
2/1/16,131.6753
3/1/16,127.3231
4/1/16,130.4863
5/1/16,121.1097
6/1/16,131.1131
7/1/16,103.8276
8/1/16,130.8348
9/1/16,129.5151
10/1/16,137.0267
11/1/16,122.7338
12/1/16,112.7291
1/1/17,119.1948
2/1/17,132.7501
3/1/17,131.3262
4/1/17,127.4089
5/1/17,125.7133
6/1/17,129.2487
7/1/17,97.9961
8/1/17,125.7146
9/1/17,125.848
10/1/17,134.2001
11/1/17,123.4993
12/1/17,111.0295
1/1/18,118.5086
2/1/18,135.9257
3/1/18,138.9537
4/1/18,135.1349
5/1/18,120.234
6/1/18,133.2058
7/1/18,103.0715
8/1/18,133.2101
9/1/18,134.7899
10/1/18,138.6045
11/1/18,125.8196
12/1/18,115.756
